formula,unsat_count,solution_time
0.cnf,5,12.261093616485596
1.cnf,5,15.633526086807251
2.cnf,6,66.11422538757324
3.cnf,7,248.21767473220825
4.cnf,5,24.45261240005493
5.cnf,cutoff,cutoff
6.cnf,5,17.255714654922485
7.cnf,cutoff,cutoff
8.cnf,4,3.3283421993255615
9.cnf,cutoff,cutoff
10.cnf,7,142.7075901031494
11.cnf,4,4.564563035964966
12.cnf,7,327.67997312545776
13.cnf,cutoff,cutoff
14.cnf,cutoff,cutoff
15.cnf,8,597.0575802326202
16.cnf,cutoff,cutoff
17.cnf,8,2042.9254105091095
18.cnf,3,1.93990159034729
19.cnf,6,82.93505573272705
20.cnf,6,118.51025366783142
21.cnf,cutoff,cutoff
22.cnf,cutoff,cutoff
23.cnf,cutoff,cutoff
24.cnf,cutoff,cutoff
25.cnf,5,13.047856569290161
26.cnf,8,1817.0445969104767
27.cnf,7,292.7293450832367
28.cnf,7,620.571534872055
29.cnf,cutoff,cutoff
30.cnf,cutoff,cutoff
31.cnf,cutoff,cutoff
32.cnf,cutoff,cutoff
33.cnf,5,12.531521320343018
34.cnf,7,143.53333854675293
35.cnf,7,558.4421098232269
36.cnf,7,353.3148272037506
37.cnf,8,2392.112020969391
38.cnf,6,54.332091093063354
39.cnf,8,946.1626553535461
40.cnf,cutoff,cutoff
41.cnf,4,3.479543447494507
42.cnf,6,29.034486293792725
43.cnf,cutoff,cutoff
44.cnf,cutoff,cutoff
45.cnf,cutoff,cutoff
46.cnf,7,476.340856552124
47.cnf,6,73.94321727752686
48.cnf,8,2346.944800376892
49.cnf,5,12.969121932983398
50.cnf,cutoff,cutoff
51.cnf,5,32.09075975418091
52.cnf,6,58.91639685630798
53.cnf,6,97.60162544250488
54.cnf,8,2668.4885256290436
55.cnf,7,857.292412519455
56.cnf,8,2039.9848790168762
57.cnf,6,284.58134269714355
58.cnf,8,2179.1652421951294
59.cnf,6,41.3604781627655
60.cnf,7,182.75116205215454
61.cnf,7,127.04181742668152
62.cnf,cutoff,cutoff
63.cnf,7,214.31053185462952
64.cnf,6,80.11837577819824
65.cnf,7,229.6702229976654
66.cnf,9,1916.1275658607483
67.cnf,cutoff,cutoff
68.cnf,cutoff,cutoff
69.cnf,cutoff,cutoff
70.cnf,cutoff,cutoff
71.cnf,4,2.340381145477295
72.cnf,7,374.447411775589
73.cnf,5,10.523311853408813
74.cnf,7,564.237868309021
75.cnf,6,78.14910936355591
76.cnf,cutoff,cutoff
77.cnf,6,88.66905689239502
78.cnf,7,540.654176235199
79.cnf,5,6.322531700134277
80.cnf,4,3.996082305908203
81.cnf,cutoff,cutoff
82.cnf,cutoff,cutoff
83.cnf,6,46.827646255493164
84.cnf,cutoff,cutoff
85.cnf,9,5123.655855417252
86.cnf,6,100.13440680503845
87.cnf,9,2289.9623086452484
88.cnf,6,50.999011278152466
89.cnf,7,408.39644503593445
90.cnf,7,934.3901033401489
91.cnf,7,177.59493446350098
92.cnf,cutoff,cutoff
93.cnf,8,595.64133644104
94.cnf,6,159.60084128379822
95.cnf,cutoff,cutoff
96.cnf,cutoff,cutoff
97.cnf,7,336.91168308258057
98.cnf,cutoff,cutoff
99.cnf,7,503.14169669151306
